State_ANSI,Ag_District_Code,Ag_District
28,20,"NORTH CENTRAL"
28,30,NORTHEAST
28,40,"LOWER DELTA"
28,50,CENTRAL
28,60,"EAST CENTRAL"
28,70,SOUTHWEST
28,80,"SOUTH CENTRAL"
28,90,"SOUTHEAST AND COASTAL"
29,10,NORTHWEST
29,20,"NORTH CENTRAL"
29,30,NORTHEAST
29,40,WEST
29,50,CENTRAL
29,60,EAST
29,70,SOUTHWEST
29,80,"SOUTH CENTRAL"
29,90,SOUTHEAST
30,10,NORTHWEST
30,20,"NORTH CENTRAL"
30,30,NORTHEAST
30,50,CENTRAL
30,70,SOUTHWEST
30,80,"SOUTH CENTRAL"
30,90,SOUTHEAST
31,10,NORTHWEST
31,20,NORTH
31,30,NORTHEAST
31,50,CENTRAL
31,60,EAST
31,70,SOUTHWEST
31,80,SOUTH
31,90,SOUTHEAST
32,10,NORTHWEST
32,30,NORTHEAST
32,80,SOUTH
33,10,"ALL COUNTIES"
34,20,NORTH
34,50,CENTRAL
34,80,SOUTH
35,10,NORTHWEST
35,30,NORTHEAST
35,70,SOUTHWEST
35,90,SOUTHEAST
36,20,NORTHERN
36,30,NORTHEAST
36,40,WESTERN
36,50,CENTRAL
36,60,EASTERN
36,70,SOUTHWEST
36,80,SOUTHERN
36,90,SOUTHEAST
36,91,"LONG ISLAND"
37,10,"NORTHERN MOUNTAIN"
37,20,"WESTERN MOUNTAIN"
37,40,"NORTHERN PIEDMONT"
37,50,"CENTRAL PIEDMONT"
37,60,"SOUTHERN PIEDMONT"
37,70,"NORTHERN COASTAL"
37,80,"CENTRAL COASTAL"
37,90,"SOUTHERN COASTAL"
38,10,NORTHWEST
38,20,"NORTH CENTRAL"
38,30,NORTHEAST
38,40,"WEST CENTRAL"
38,50,CENTRAL
38,60,"EAST CENTRAL"
38,70,SOUTHWEST
38,80,"SOUTH CENTRAL"
38,90,SOUTHEAST
39,10,NORTHWEST
39,20,"NORTH CENTRAL"
39,30,NORTHEAST
39,40,"WEST CENTRAL"
39,50,CENTRAL
39,60,"EAST CENTRAL"
39,70,SOUTHWEST
39,80,"SOUTH CENTRAL"
39,90,SOUTHEAST
40,10,PANHANDLE
40,20,"WEST CENTRAL"
40,30,SOUTHWEST
40,40,"NORTH CENTRAL"
40,50,CENTRAL
40,60,"SOUTH CENTRAL"
40,70,NORTHEAST
40,80,"EAST CENTRAL"
40,90,SOUTHEAST
41,10,NORTHWEST
41,20,"NORTH CENTRAL"
41,30,NORTHEAST
41,70,SOUTHWEST
41,80,SOUTHEAST
42,10,NORTHWESTERN
42,20,"NORTH CENTRAL"
42,30,NORTHEASTERN
42,40,"WEST CENTRAL"
42,50,CENTRAL
42,60,"EAST CENTRAL"
42,70,SOUTHWESTERN
42,80,"SOUTH CENTRAL"
42,90,SOUTHEASTERN
44,10,"ALL COUNTIES"
45,10,NORTHWEST
45,20,"NORTH CENTRAL"
45,30,EASTERN
45,40,"WEST CENTRAL"
45,50,CENTRAL
45,80,SOUTHERN
46,10,NORTHWEST
46,20,"NORTH CENTRAL"
46,30,NORTHEAST
46,40,"WEST CENTRAL"
46,50,CENTRAL
46,60,"EAST CENTRAL"
46,70,SOUTHWEST
46,80,"SOUTH CENTRAL"
46,90,SOUTHEAST
47,10,DELTA
47,20,"WEST TENNESSEE"
47,30,"WESTERN RIM"
47,40,"CENTRAL BASIN"
47,50,"CUMBERLAND PLATEAU"
47,60,"EAST TENNESSEE"
48,11,"NORTHERN HIGH PLAINS"
48,12,"SOUTHERN HIGH PLAINS"
48,21,"NORTHERN LOW PLAINS"
48,22,"SOUTHERN LOW PLAINS"
48,30,"CROSS TIMBERS"
48,40,BLACKLANDS
48,51,"EAST TEXAS NORTH"
48,52,"EAST TEXAS SOUTH"
48,60,TRANS-PECOS
48,70,"EDWARDS PLATEAU"
48,81,"SOUTH CENTRAL"
48,82,"COASTAL BEND"
48,90,"UPPER COAST"
48,96,"SOUTH TEXAS"
48,97,"LOWER VALLEY"
49,10,NORTHERN
49,50,CENTRAL
49,60,EASTERN
49,70,SOUTHERN
50,10,"ALL COUNTIES"
51,20,NORTHERN
51,40,WESTERN
51,50,CENTRAL
51,60,EASTERN
51,70,SOUTHWESTERN
51,80,SOUTHERN
51,90,SOUTHEASTERN
53,10,WESTERN
53,20,CENTRAL
53,30,NORTHEAST
53,50,"EAST CENTRAL"
53,90,SOUTHEAST
54,20,NORTHWEST
54,40,SOUTHWEST
54,60,EASTERN
55,10,NORTHWEST
55,20,"NORTH CENTRAL"
55,30,NORTHEAST
55,40,"WEST CENTRAL"
55,50,CENTRAL
55,60,"EAST CENTRAL"
55,70,SOUTHWEST
55,80,"SOUTH CENTRAL"
55,90,SOUTHEAST
56,10,NORTHWEST
56,20,NORTHEAST
56,30,WEST
56,40,"SOUTH CENTRAL"
56,50,SOUTHEAST
